,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10,1566030831763734528,1566007102669312000,"2022-09-03 06:50:20 Hora est. Pacífico, Sudamérica",2022-09-03,06:50:20,-500,1134207215953481730,margaritamrd_,Margaritamaria®️,,username Feliz día Carol ☕️☕️,es,[],[],[],0,0,0,[],[],https://twitter.com/Margaritamrd_/status/1566030831763734528,False,,0,,Colombia,,,,,,"[{'screen_name': 'CariLeguizamon', 'name': 'Carol L.', 'id': '73722272'}]",,,,
11,1566030360810512384,1566030360810512384,"2022-09-03 06:48:28 Hora est. Pacífico, Sudamérica",2022-09-03,06:48:28,-500,2432722214,andrea_mercado5,Andrea Mercado,,"piensa ti, date gustos sé feliz. 🤍💫",es,[],[],[],0,0,1,[],[],https://twitter.com/andrea_mercado5/status/1566030360810512384,False,,0,,Colombia,,,,,,[],,,,
12,1566030205965275137,1566029564752560128,"2022-09-03 06:47:51 Hora est. Pacífico, Sudamérica",2022-09-03,06:47:51,-500,1134207215953481730,margaritamrd_,Margaritamaria®️,,"username Feliz día Nella, así es!",es,[],[],[],1,0,1,[],[],https://twitter.com/Margaritamrd_/status/1566030205965275137,False,,0,,Colombia,,,,,,"[{'screen_name': 'Fugaz_nella', 'name': 'nella💫', 'id': '343667928'}]",,,,
13,1566027890554200066,1566027890554200066,"2022-09-03 06:38:39 Hora est. Pacífico, Sudamérica",2022-09-03,06:38:39,-500,777694054062690305,thecuadros12,Cuadros,,Corazón contento,es,[],[],[],0,0,0,[],[],https://twitter.com/TheCuadros12/status/1566027890554200066,False,,0,,Colombia,,,,,,[],,,,
14,1566027872929808386,1566027872929808386,"2022-09-03 06:38:34 Hora est. Pacífico, Sudamérica",2022-09-03,06:38:34,-500,1546943386191634434,lancero_col,@LANCERO__col. ( R.A ).🇨🇴,,Gracias señor dia mas vida rodeado adorada familia . Bendiciones siglo || siguiente (también sig.) Les deseo feliz fin semana.,es,[],[],[],0,0,0,[],[],https://twitter.com/lancero_col/status/1566027872929808386,False,,0,,Colombia,,,,,,[],,,,
15,1566025681397596162,1566025681397596162,"2022-09-03 06:29:52 Hora est. Pacífico, Sudamérica",2022-09-03,06:29:52,-500,1479097449432207364,angie__dayana,An'🥀,,Una compañeras envió audio cantando feliz cumpleaños ☺️ Me hace sentir hago cosas bien allí  feliz,es,[],[],[],0,0,0,[],[],https://twitter.com/angie__dayana/status/1566025681397596162,False,,0,,Colombia,,,,,,[],,,,
16,1566024648613036032,1565982165476773888,"2022-09-03 06:25:46 Hora est. Pacífico, Sudamérica",2022-09-03,06:25:46,-500,3331884807,ferchocruz41,LEGO,,username Feliz día Amigo Mart 💯 Abrazos  feliz feliz feliz  ,es,[],[],['https://pbs.twimg.com/tweet_video_thumb/FbujHJ6WYAIWK3g.jpg'],0,0,0,[],[],https://twitter.com/ferchocruz41/status/1566024648613036032,False,,1,https://pbs.twimg.com/tweet_video_thumb/FbujHJ6WYAIWK3g.jpg,Colombia,,,,,,"[{'screen_name': 'Martyn210', 'name': 'Martyn2😀', 'id': '1468375582715043847'}]",,,,
17,1566024577804795904,1566024577804795904,"2022-09-03 06:25:29 Hora est. Pacífico, Sudamérica",2022-09-03,06:25:29,-500,319701639,directionerhpta,ADRIANA🇨🇴,,"buenos díasss, feliz sábado genteeee🫶🏻🫶🏻🫶🏻🫶🏻",es,[],[],[],0,0,2,[],[],https://twitter.com/DirectionerHPTA/status/1566024577804795904,False,,0,,Colombia,,,,,,[],,,,
18,1566024265597689856,1566024265597689856,"2022-09-03 06:24:14 Hora est. Pacífico, Sudamérica",2022-09-03,06:24:14,-500,3331884807,ferchocruz41,LEGO,,Feliz día  feliz  ,es,[],[],['https://pbs.twimg.com/media/FbuixTkXgAA45nk.jpg'],1,0,5,[],[],https://twitter.com/ferchocruz41/status/1566024265597689856,False,,1,https://pbs.twimg.com/media/FbuixTkXgAA45nk.jpg,Colombia,,,,,,[],,,,
19,1566023780346085376,1565895014865162241,"2022-09-03 06:22:19 Hora est. Pacífico, Sudamérica",2022-09-03,06:22:19,-500,1539656321246568452,ruth093484422,Mayma🌼💗🌼,,username Buenos días username ... Que pases Feliz  feliz fin semana.  ,es,"[{'screen_name': 'augusrodri2', 'name': 'augusto ®', 'id': '1370064767864410124'}]",[],['https://pbs.twimg.com/media/FbuiUtTWIAEWXS2.jpg'],0,0,0,[],[],https://twitter.com/Ruth093484422/status/1566023780346085376,False,,1,https://pbs.twimg.com/media/FbuiUtTWIAEWXS2.jpg,Colombia,,,,,,"[{'screen_name': 'augusrodri2', 'name': 'AUGUSTO ®', 'id': '1370064767864410124'}]",,,,
